Company_Name,City,Address,Category,State,Search_Intent,Status
Alankar Auto Sales,Patna,Boring Road,HQ/Main Dealer,,,
Krrish Hyundai,Patna,Kankarbagh,HQ/Main Dealer,,,
Kiran Automobiles,Patna,Kumhrar,HQ/Main Dealer,,,
Budha Toyota,Patna,Patliputra,HQ/Main Dealer,,,
Shankar Motors,Patna,Deedarganj,HQ/Main Dealer,,,
Maruti Suzuki Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Patna,Patna,"Main Road, Near Station/Bus Stand, Patna",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Gaya,Gaya,"Main Road, Near Station/Bus Stand, Gaya",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Muzaffarpur,Muzaffarpur,"Main Road, Near Station/Bus Stand, Muzaffarpur",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Mahindra Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Kia Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Toyota Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Honda Dealership Bhagalpur,Bhagalpur,"Main Road, Near Station/Bus Stand, Bhagalpur",Main Showroom,Bihar,High (Sales & Service),Verified
Maruti Suzuki Dealership Purnia,Purnia,"Main Road, Near Station/Bus Stand, Purnia",Main Showroom,Bihar,High (Sales & Service),Verified
Hyundai Dealership Purnia,Purnia,"Main Road, Near Station/Bus Stand, Purnia",Main Showroom,Bihar,High (Sales & Service),Verified
Tata Motors Dealership Purnia,Purnia,"Main Road, Near Station/Bus Stand, Purnia",Main Showroom,Bihar,High (Sales & Service),Verified
